Year,Month,Decimal_date,Semihemispheric_modelled_mole_fractions_box0,Semihemispheric_modelled_mole_fractions_box1,Semihemispheric_modelled_mole_fractions_box2,Semihemispheric_modelled_mole_fractions_box3,Semihemispheric_modelled_mole_fractions_box4,Semihemispheric_modelled_mole_fractions_box5,Semihemispheric_modelled_mole_fractions_box6,Semihemispheric_modelled_mole_fractions_box7,Semihemispheric_modelled_mole_fractions_box8,Semihemispheric_modelled_mole_fractions_box9,Semihemispheric_modelled_mole_fractions_box10,Semihemispheric_modelled_mole_fractions_box11,Semihemispheric_modelled_mole_fractions_1-sigma_box0,Semihemispheric_modelled_mole_fractions_1-sigma_box1,Semihemispheric_modelled_mole_fractions_1-sigma_box2,Semihemispheric_modelled_mole_fractions_1-sigma_box3
1993,3,1993.17,1817205.9703656796,1764564.075271434,1702727.7708269162,1686617.825226957,1795049.8485446055,1759884.7784704028,1698387.5059916605,1681563.5507370231,1627875.478526487,1615519.351620206,1604467.9947920996,1601721.8270216095,8899.21193317291,8546.92393439665,8311.353475341062,8152.780479610031
1993,4,1993.25,1811093.2403174597,1759346.9583518535,1698075.703299797,1690828.3109299089,1787189.1662504897,1755847.6790114124,1692765.070351724,1685467.9953100968,1626934.0685646106,1614769.276822378,1603960.7499459102,1601982.5272891512,8811.69412037593,8502.6506161147,8246.101123883862,8179.715458280704
1993,5,1993.33,1809739.5821726131,1763100.5182098683,1699104.2382034778,1700127.6784500978,1786789.3986413009,1758216.3587105938,1692942.9009057023,1692598.8776086108,1624812.4774841387,1613715.6338075157,1603811.988343889,1603283.452309177,8783.955913934149,8528.184872325552,8215.188383327475,8230.966050510013
1993,6,1993.42,1802261.2681847122,1762976.5088336153,1704658.5763553372,1708877.5692966687,1783240.49569759,1758053.2499574146,1697833.0486000823,1699840.908027532,1622150.1076975416,1612589.3332826216,1604200.1063629277,1605101.4546243753,8784.717802190831,8552.7551281699,8243.634853101581,8279.783185647686
1993,7,1993.5,1797514.4433980316,1758678.8344954425,1705514.2874801343,1712835.1835157096,1780684.582405226,1753149.266076707,1714668.3623610593,1710302.5112046655,1619450.540175661,1611462.4856576598,1604987.7267325302,1607064.4462987315,8727.769206392746,8528.3615968648,8250.499422187351,8289.778101013122
1993,8,1993.58,1799239.0606645346,1753351.2177776983,1707393.014277556,1716106.5296740015,1780718.6970992617,1746299.6054374413,1722155.4734207625,1718239.1322780575,1617479.3730112438,1610405.446208252,1605866.3519244052,1608834.1947101927,8739.328524815824,8555.03287431746,8271.646044802284,8299.397116697675
1993,9,1993.67,1807180.8251873744,1751804.4518112817,1706662.3928858507,1718349.0964279461,1784264.6391619323,1743130.7903150017,1722710.0868922858,1720984.049744681,1616649.0382060932,1609614.8450042284,1606284.8056950064,1609861.4682803235,8837.344345879805,8617.754315852573,8281.675070652607,8312.763187298468
1993,10,1993.75,1818521.3815617505,1762050.2905038192,1710415.4712400082,1716334.5569515347,1789404.5495213682,1753799.2503293643,1715660.028000375,1717539.3400053103,1617147.6109130532,1609444.900653185,1606115.1990942005,1609770.5385916054,8844.656746826613,8601.025031533702,8276.290464154867,8296.517134340795
1993,11,1993.83,1831340.9195713778,1780531.8908036368,1713003.2103252313,1710622.2659285658,1800151.6408932996,1771354.9335700108,1714064.084912388,1711743.0325599732,1618806.3723834082,1610264.705216586,1605645.804340174,1608381.8279235752,8888.401988448322,8646.056124429928,8280.940802562689,8260.401274585327
1993,12,1993.92,1846642.3414898077,1799148.1748012188,1712501.2732928328,1703751.0108139107,1815148.002014871,1789285.08004697,1714985.7457298527,1706874.068875968,1621395.6007430684,1611962.7436482268,1605285.908073284,1606247.449438082,8997.925782518882,8744.079727339953,8283.22473481428,8219.986522636958
1994,1,1994.0,1846401.8954801208,1800209.6567364882,1711962.3555122826,1697394.0900864482,1820514.7934634543,1787211.4578980908,1709553.2386611088,1696237.9158657023,1624355.345134177,1613835.0583241417,1604977.550977525,1604015.313256928,8963.885832112841,8699.234124610639,8276.110477425003,8183.875530444891
1994,2,1994.08,1833112.1579518714,1784147.5921378217,1708885.4217159767,1690877.8340508996,1809416.8775736461,1773783.861434333,1703682.4641427512,1686894.4726273096,1626544.3644197008,1614910.8112376072,1604498.519833461,1602107.0269243054,8917.53907605867,8611.672496285368,8297.278681657066,8159.140401368138
1994,3,1994.17,1818444.823331467,1765717.7841474426,1703615.3949238248,1687293.981071392,1796155.13762001,1760899.462585929,1699167.2882872422,1682228.6958735343,1627401.0784544332,1615026.145306133,1603941.5786459823,1601173.317219551,8904.630993222898,8550.896779514094,8314.17470137898,8154.096723600695
1994,4,1994.25,1812364.4758764189,1760527.1136769594,1698993.8147677828,1691548.824702039,1788341.8710395861,1756929.177877083,1693592.5656511385,1686185.9779078553,1626511.1352033014,1614327.6285479795,1603486.1249492809,1601485.202574221,8816.735804477701,8506.545539181678,8248.884829671151,8181.447076195855
1994,5,1994.33,1811048.3959558995,1764320.033013698,1700046.5293030287,1700893.1950342876,1787992.0622448858,1759353.5640507024,1693804.466410339,1693363.6440366616,1624441.294773156,1613325.81621231,1603388.4188916266,1602836.9810855216,8788.582477203427,8531.990108022432,8217.818820620005,8233.073599353242
1994,6,1994.42,1803608.684707788,1764236.927232632,1705634.3068493835,1709686.1018373603,1784484.576447585,1759233.0270121412,1698730.3283889417,1700647.227949447,1621830.47182498,1612250.7891755074,1603826.957971493,1604705.3433594147,8789.080922075242,8556.464177647054,8246.247074871544,8282.161790778977
1994,7,1994.5,1798903.1684283984,1759944.282781289,1706487.566867549,1713689.6825602665,1781979.9170597568,1754394.6312872667,1715635.2502799816,1711167.1085583507,1619182.047233736,1611174.9143052609,1604664.95234517,1606718.5025397383,8732.316176755112,8532.038391343991,8253.21006233542,8292.185780636424
1994,8,1994.58,1800667.6774946768,1754616.8364882362,1708384.719814017,1717011.0657438997,1782062.596939606,1747571.5525683593,1723174.2294231057,1719163.0776591718,1617261.8323505216,1610168.575253666,1605594.3877441543,1608538.941416454,8744.172304293148,8558.750135118205,8274.533865367872,8301.803443770785
